player_id,player_name,position,team,status,height,weight,college,years_exp
8408,Jordan Mason,RB,MIN,Active,71,230,Georgia Tech,4.0
12163,Ryan Rehkow,P,CIN,Active,76,235,BYU,2.0
13020,Jayson Jones,DL,TB,Active,78,335,Auburn,1.0
6158,Olisaemeka Udoh,G,TEN,Active,78,320,Elon,7.0
7714,Dan Moore,OT,TEN,Active,77,315,Texas A&M,5.0
6314,Cam Lewis,CB,BUF,Active,69,183,Buffalo,7.0
12661,Jordan Hancock,DB,BUF,Active,72,195,Ohio State,1.0
11894,Kyler Baugh,DL,PIT,Active,74,305,Minnesota,2.0
4195,Jake Elliott,K,PHI,Active,69,167,Memphis,9.0
7021,Rico Dowdle,RB,CAR,Active,71,215,South Carolina,6.0
10878,Deonte Banks,DB,NYG,Active,74,200,Maryland,3.0
11630,Roman Wilson,WR,PIT,Active,70,186,Michigan,2.0
7129,Blake Brandel,T,MIN,Active,78,315,Oregon State,6.0
7083,Tyler Huntley,QB,BAL,Active,73,204,Utah,6.0
12735,Caleb Lohner,TE,DEN,Active,79,250,Utah,1.0
12393,Nik Constantinou,P,CLE,Active,75,225,Texas A&M,2.0
11798,Zion Logue,DL,BUF,Active,78,314,Georgia,2.0
12774,Joe Huber,OG,MIN,Active,77,310,Wisconsin,1.0
8137,George Pickens,WR,DAL,Active,75,200,Georgia,4.0
7665,Landon Dickerson,OL,PHI,Active,78,332,Alabama,5.0
12697,Antwaun Powell-Ryland,DE,CIN,Active,75,252,Virginia Tech,1.0
11672,JC Latham,OL,TEN,Active,78,342,Alabama,2.0
8135,Treylon Burks,WR,WAS,Active,74,225,Arkansas,4.0
7053,Daniel Thomas,DB,DET,Active,70,215,Auburn,6.0
7694,Tommy Tremble,TE,CAR,Active,76,250,Notre Dame,5.0
12102,Andre' Sam,DB,PHI,Active,70,194,LSU,2.0
10215,Jake Haener,QB,KC,Active,73,200,Fresno State,3.0
11597,Theo Johnson,TE,NYG,Active,78,264,Penn State,2.0
7695,Osa Odighizuwa,DT,DAL,Active,74,280,UCLA,5.0
7681,Baron Browning,LB,ARI,Active,75,255,Ohio State,5.0
12555,Donovan Jackson,OL,MIN,Active,76,324,Ohio State,1.0
7625,Joe Tryon-Shoyinka,LB,CHI,Active,77,259,Washington,5.0
10923,Dorian Williams,LB,BUF,Active,74,230,Tulane,3.0
11552,Durell Nchami,LB,IND,Active,76,258,Maryland,3.0
13028,Elliott Davison,DB,NO,Active,72,190,UTSA,1.0
9511,Keaton Mitchell,RB,BAL,Active,68,190,East Carolina,3.0
6802,A.J. Epenesa,DE,BUF,Active,78,260,Iowa,6.0
7521,Chris Blair,WR,ATL,Active,74,215,Alcorn State,5.0
12543,Tahj Brooks,RB,CIN,Active,69,220,Texas Tech,1.0
5944,Bobby Okereke,LB,NYG,Active,74,235,Stanford,7.0
4092,Dalvin Tomlinson,DT,ARI,Active,75,335,Alabama,9.0
3220,Jarran Reed,DT,SEA,Active,75,315,Alabama,10.0
8020,Curtis Robinson,LB,SF,Active,75,235,Stanford,5.0
10939,Jay Ward,DB,MIN,Active,73,190,LSU,3.0
6896,Amik Robertson,CB,DET,Active,69,183,Louisiana Tech,6.0
11684,Blake Fisher,OL,HOU,Active,78,312,Notre Dame,2.0
12680,Rylie Mills,DL,SEA,Active,77,290,Notre Dame,1.0
4233,Zane Gonzalez,K,ATL,Active,72,202,Arizona State,9.0
13213,Lucas Scott,FB,BAL,Active,75,290,Army,1.0
8208,Tyler Badie,RB,DEN,Active,68,197,Missouri,4.0
