player_id,season,week,passing_yards,passing_tds,passing_ints,rushing_yards,rushing_tds,receiving_yards,receiving_tds,receptions,fumbles,fantasy_points,games_played,targets,carries,player_name
829,2024,,989.0,7.0,6.0,34.0,0.0,0.0,0.0,0.0,0,64.96,6.0,0.0,11.0,Andy Dalton
10222,2024,,0.0,0.0,0.0,163.0,1.0,857.0,6.0,55.0,0,142.0,17.0,75.0,20.0,Jayden Reed
11714,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,17.0,0.0,0.0,Jonah Elliss
7721,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Chris Rumph
6003,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,17.0,0.0,0.0,Anthony Nelson
11311,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Jason Brownlee
10943,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.5,16.0,0.0,0.0,Isaiah McGuire
12532,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Ja'Corey Brooks
10944,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.5,17.0,0.0,0.0,Tavius Robinson
5351,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,17.0,0.0,0.0,Da'Shawn Hand
8481,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,15.0,0.0,0.0,Ja'Sir Taylor
11370,2024,,0.0,0.0,0.0,183.0,1.0,69.0,0.0,11.0,0,31.2,15.0,13.0,36.0,Chris Brooks
4104,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.0,0.0,0.0,Taylor Moton
11574,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.0,10.0,0.0,1.0,Dylan Laube
6323,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,2.0,0.0,Andrew Beck
6927,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Quez Watkins
12730,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Micah Robinson
8111,2024,,0.0,0.0,0.0,-4.0,0.0,600.0,4.0,59.0,0,81.6,14.0,87.0,1.0,Cade Otton
13073,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Sebastian Valdez
3269,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,Chris Moore
12374,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,1.0,0.0,Brenden Bates
8468,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,Max Mitchell
4970,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Quenton Nelson
11489,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,Kahlef Hailassie
12669,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Collin Oliver
8278,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3.0,0.0,0.0,Christian Harris
11647,2024,,0.0,0.0,0.0,155.0,0.0,62.0,1.0,5.0,0,27.7,10.0,9.0,43.0,Kimani Vidal
7630,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,13.0,0.0,0.0,Greg Newsome
4967,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Bradley Chubb
8774,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Alec Anderson
7626,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,17.0,0.0,0.0,Odafe Oweh
8528,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Ryan Wright
7608,2024,,0.0,0.0,0.0,130.0,1.0,25.0,0.0,10.0,0,21.5,14.0,11.0,36.0,Khalil Herbert
4227,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,94.0,13.0,0.0,0.0,Harrison Butker
